student_id,date,week,day_of_week,sleep_hours,bedtime_hour,lms_logins,study_hours,social_score,dining_visits,assignment_delta
STU0001,2024-09-02,1,0,6.89,22.93,3,3.49,4.93,2,1.8
STU0001,2024-09-03,1,1,6.81,23.33,5,2.19,6.28,1,0.39
STU0001,2024-09-04,1,2,7.8,22.9,3,1.8,7.96,1,1.89
STU0001,2024-09-05,1,3,7.47,23.68,2,0.78,7.42,3,3.66
STU0001,2024-09-06,1,4,7.43,22.75,5,2.83,7.77,2,3.39
STU0001,2024-09-07,1,5,9.86,23.7,0,2.47,5.08,1,1.19
STU0001,2024-09-08,1,6,7.89,23.58,0,3.62,7.2,1,1.31
STU0001,2024-09-09,2,0,7.39,23.41,3,3.14,6.84,1,0.57
STU0001,2024-09-10,2,1,7.01,23.44,4,3.99,8.22,2,2.39
STU0001,2024-09-11,2,2,7.24,23.13,3,1.36,7.04,3,3.19
STU0001,2024-09-12,2,3,7.88,23.62,4,4.0,6.46,2,2.72
STU0001,2024-09-13,2,4,8.02,22.93,3,3.8,7.92,1,-1.64
STU0001,2024-09-14,2,5,7.87,22.89,0,2.35,6.66,3,2.29
STU0001,2024-09-15,2,6,8.38,23.81,0,3.54,7.11,2,0.19
STU0001,2024-09-16,3,0,6.37,23.41,4,2.9,6.16,3,0.02
STU0001,2024-09-17,3,1,8.29,22.55,4,3.47,7.92,2,1.56
STU0001,2024-09-18,3,2,7.32,22.5,5,3.29,6.93,1,-2.04
STU0001,2024-09-19,3,3,7.19,24.21,5,3.78,6.88,2,2.62
STU0001,2024-09-20,3,4,6.59,23.56,5,4.52,7.73,2,2.81
STU0001,2024-09-21,3,5,8.56,23.32,0,2.6,9.06,1,-0.4
STU0001,2024-09-22,3,6,8.3,23.53,1,2.74,6.93,3,-0.6
STU0001,2024-09-23,4,0,6.8,22.95,2,3.62,9.19,2,2.15
STU0001,2024-09-24,4,1,6.54,22.69,3,3.48,8.74,2,0.13
STU0001,2024-09-25,4,2,7.45,23.25,5,5.38,5.98,1,-0.09
STU0001,2024-09-26,4,3,7.16,23.23,5,3.72,6.82,2,0.55
STU0001,2024-09-27,4,4,8.55,22.2,4,5.82,7.21,2,1.26
STU0001,2024-09-28,4,5,8.09,24.19,0,4.03,5.49,1,1.16
STU0001,2024-09-29,4,6,8.55,22.7,2,4.52,5.56,2,0.81
STU0001,2024-09-30,5,0,7.56,23.01,3,4.29,9.37,2,2.88
STU0001,2024-10-01,5,1,6.52,22.52,4,5.28,7.63,2,1.8
STU0001,2024-10-02,5,2,6.55,23.3,5,3.35,6.64,2,1.14
