feature,importance
roll4_bedtime_hour,1.9915676
roll4_sleep_hours,1.0282524
roll4_social_score,0.7332437
roll2_bedtime_hour,0.47222614
roll4_assignment_delta,0.4492218
lms_logins_mean,0.22164032
study_hours_mean,0.10913075
roll2_social_score,0.094524376
social_score_min,0.09077363
roll2_assignment_delta,0.08601852
roll2_sleep_hours,0.08432126
drift_score,0.07937935
slope_lms_logins,0.07280536
assignment_delta_mean,0.070046924
study_hours_max,0.06641705
social_score_mean,0.061346665
lms_logins_std,0.05766158
bedtime_hour_mean,0.046952907
sleep_hours_min,0.045590334
bedtime_hour_max,0.04367864
bedtime_hour_min,0.04265586
sleep_hours_mean,0.038810004
roll2_lms_logins,0.02692257
social_score_max,0.020250168
rollstd4_social_score,0.020010823
gpa_start,0.014403752
mood_volatility,0.013565779
dev_sleep_hours,0.012972458
assignment_delta_max,0.0116122905
slope_social_score,0.011204002
rollstd4_lms_logins,0.010615312
mood_score,0.009455933
mood_slope,0.009189354
dev_study_hours,0.007444664
social_score_std,0.007258001
study_hours_min,0.00714101
dev_lms_logins,0.006042719
sleep_hours_std,0.0052194363
scholarship,0.00512911
dev_assignment_delta,0.005116653
bedtime_hour_std,0.0032598171
lms_logins_max,0.0029268975
roll4_lms_logins,0.0027699627
dev_bedtime_hour,0.002685789
slope_assignment_delta,0.0026804463
dining_visits_std,0.0023436302
dev_social_score,0.002100113
assignment_delta_min,0.0020322697
year_encoded,0.001843197
zero_lms_day_sum,0.0013924364
assignment_delta_std,0.0013873761
dining_visits_mean,0.0012613254
rollstd4_sleep_hours,0.001080568
late_night_sum,0.0010077157
sleep_hours_max,0.0009857314
lms_logins_min,0.0009619101
rollstd4_bedtime_hour,0.0007728181
slope_sleep_hours,0.0007656463
study_hours_std,0.00065590144
dev_dining_visits,0.00051492243
first_gen,0.00036687488
dining_visits_min,0.00026419765
has_history,0.00022438534
age,0.00017698672
rollstd4_assignment_delta,0.0
mood_missing,0.0
dining_visits_max,0.0
