student_id,week,mood_score,check_in_date
STU0001,1,9.07,2024-09-08
STU0001,2,8.61,2024-09-15
STU0001,3,8.83,2024-09-22
STU0001,4,7.8,2024-09-29
STU0001,5,6.55,2024-10-06
STU0001,6,8.2,2024-10-13
STU0001,7,8.13,2024-10-20
STU0001,8,7.95,2024-10-27
STU0001,9,7.0,2024-11-03
STU0001,10,7.95,2024-11-10
STU0001,11,7.69,2024-11-17
STU0001,12,8.42,2024-11-24
STU0001,13,7.34,2024-12-01
STU0001,14,9.17,2024-12-08
STU0001,15,7.86,2024-12-15
STU0001,16,7.49,2024-12-22
STU0002,1,6.06,2024-09-08
STU0002,2,,2024-09-15
STU0002,3,7.21,2024-09-22
STU0002,4,,2024-09-29
STU0002,5,6.15,2024-10-06
STU0002,6,5.25,2024-10-13
STU0002,7,5.75,2024-10-20
STU0002,8,6.58,2024-10-27
STU0002,9,5.74,2024-11-03
STU0002,10,,2024-11-10
STU0002,11,4.84,2024-11-17
STU0002,12,5.68,2024-11-24
STU0002,13,5.01,2024-12-01
STU0002,14,3.02,2024-12-08
STU0002,15,5.15,2024-12-15
STU0002,16,4.34,2024-12-22
STU0003,1,6.22,2024-09-08
STU0003,2,,2024-09-15
STU0003,3,7.1,2024-09-22
STU0003,4,8.31,2024-09-29
STU0003,5,8.89,2024-10-06
STU0003,6,6.89,2024-10-13
STU0003,7,6.52,2024-10-20
STU0003,8,7.4,2024-10-27
STU0003,9,,2024-11-03
STU0003,10,7.06,2024-11-10
STU0003,11,8.05,2024-11-17
STU0003,12,,2024-11-24
STU0003,13,8.35,2024-12-01
STU0003,14,6.86,2024-12-08
STU0003,15,7.75,2024-12-15
STU0003,16,8.48,2024-12-22
STU0004,1,8.39,2024-09-08
STU0004,2,,2024-09-15
STU0004,3,8.36,2024-09-22
STU0004,4,6.78,2024-09-29
STU0004,5,8.31,2024-10-06
STU0004,6,8.84,2024-10-13
STU0004,7,7.66,2024-10-20
STU0004,8,7.59,2024-10-27
STU0004,9,7.59,2024-11-03
STU0004,10,8.65,2024-11-10
STU0004,11,7.63,2024-11-17
STU0004,12,8.22,2024-11-24
STU0004,13,,2024-12-01
STU0004,14,6.36,2024-12-08
STU0004,15,9.25,2024-12-15
STU0004,16,9.77,2024-12-22
STU0005,1,6.85,2024-09-08
STU0005,2,8.8,2024-09-15
STU0005,3,7.18,2024-09-22
STU0005,4,7.35,2024-09-29
STU0005,5,6.55,2024-10-06
STU0005,6,7.7,2024-10-13
STU0005,7,7.42,2024-10-20
STU0005,8,7.46,2024-10-27
STU0005,9,6.18,2024-11-03
STU0005,10,,2024-11-10
STU0005,11,6.46,2024-11-17
STU0005,12,5.0,2024-11-24
STU0005,13,5.76,2024-12-01
STU0005,14,7.36,2024-12-08
STU0005,15,7.35,2024-12-15
STU0005,16,6.67,2024-12-22
STU0006,1,9.18,2024-09-08
STU0006,2,9.51,2024-09-15
STU0006,3,9.53,2024-09-22
STU0006,4,9.12,2024-09-29
STU0006,5,8.13,2024-10-06
STU0006,6,9.45,2024-10-13
STU0006,7,10.0,2024-10-20
STU0006,8,,2024-10-27
STU0006,9,10.0,2024-11-03
STU0006,10,9.07,2024-11-10
STU0006,11,8.38,2024-11-17
STU0006,12,7.65,2024-11-24
STU0006,13,9.32,2024-12-01
STU0006,14,9.67,2024-12-08
STU0006,15,9.0,2024-12-15
STU0006,16,8.89,2024-12-22
STU0007,1,6.45,2024-09-08
STU0007,2,5.06,2024-09-15
STU0007,3,6.08,2024-09-22
STU0007,4,6.33,2024-09-29
STU0007,5,6.45,2024-10-06
STU0007,6,5.84,2024-10-13
STU0007,7,5.13,2024-10-20
STU0007,8,4.77,2024-10-27
STU0007,9,,2024-11-03
STU0007,10,,2024-11-10
STU0007,11,4.13,2024-11-17
STU0007,12,,2024-11-24
STU0007,13,,2024-12-01
STU0007,14,3.92,2024-12-08
STU0007,15,4.22,2024-12-15
STU0007,16,4.83,2024-12-22
STU0008,1,7.49,2024-09-08
STU0008,2,,2024-09-15
STU0008,3,,2024-09-22
STU0008,4,8.64,2024-09-29
STU0008,5,7.16,2024-10-06
STU0008,6,7.86,2024-10-13
STU0008,7,6.74,2024-10-20
STU0008,8,6.97,2024-10-27
STU0008,9,7.92,2024-11-03
STU0008,10,6.83,2024-11-10
STU0008,11,6.67,2024-11-17
STU0008,12,5.3,2024-11-24
STU0008,13,7.9,2024-12-01
STU0008,14,6.28,2024-12-08
STU0008,15,7.75,2024-12-15
STU0008,16,7.57,2024-12-22
STU0009,1,8.46,2024-09-08
STU0009,2,9.42,2024-09-15
STU0009,3,,2024-09-22
STU0009,4,6.26,2024-09-29
STU0009,5,7.7,2024-10-06
STU0009,6,6.58,2024-10-13
STU0009,7,8.0,2024-10-20
STU0009,8,7.34,2024-10-27
STU0009,9,,2024-11-03
STU0009,10,7.4,2024-11-10
STU0009,11,8.68,2024-11-17
STU0009,12,7.85,2024-11-24
STU0009,13,7.35,2024-12-01
STU0009,14,8.21,2024-12-08
STU0009,15,7.66,2024-12-15
STU0009,16,5.81,2024-12-22
STU0010,1,3.96,2024-09-08
STU0010,2,5.37,2024-09-15
STU0010,3,4.85,2024-09-22
STU0010,4,4.24,2024-09-29
STU0010,5,3.98,2024-10-06
STU0010,6,4.01,2024-10-13
STU0010,7,5.09,2024-10-20
STU0010,8,4.88,2024-10-27
STU0010,9,3.49,2024-11-03
STU0010,10,,2024-11-10
STU0010,11,3.1,2024-11-17
STU0010,12,2.37,2024-11-24
STU0010,13,,2024-12-01
STU0010,14,,2024-12-08
STU0010,15,3.24,2024-12-15
STU0010,16,4.64,2024-12-22
STU0011,1,6.83,2024-09-08
STU0011,2,6.27,2024-09-15
STU0011,3,,2024-09-22
STU0011,4,7.71,2024-09-29
STU0011,5,7.64,2024-10-06
STU0011,6,,2024-10-13
STU0011,7,5.98,2024-10-20
STU0011,8,5.8,2024-10-27
STU0011,9,6.83,2024-11-03
STU0011,10,7.71,2024-11-10
STU0011,11,5.65,2024-11-17
STU0011,12,4.68,2024-11-24
STU0011,13,3.51,2024-12-01
STU0011,14,2.93,2024-12-08
STU0011,15,,2024-12-15
STU0011,16,1.0,2024-12-22
STU0012,1,5.54,2024-09-08
STU0012,2,7.31,2024-09-15
STU0012,3,6.83,2024-09-22
STU0012,4,6.27,2024-09-29
STU0012,5,7.31,2024-10-06
STU0012,6,4.52,2024-10-13
STU0012,7,5.09,2024-10-20
STU0012,8,4.89,2024-10-27
STU0012,9,2.57,2024-11-03
STU0012,10,2.38,2024-11-10
STU0012,11,2.3,2024-11-17
STU0012,12,1.04,2024-11-24
STU0012,13,1.0,2024-12-01
STU0012,14,1.0,2024-12-08
STU0012,15,1.0,2024-12-15
STU0012,16,1.0,2024-12-22
STU0013,1,7.82,2024-09-08
STU0013,2,7.34,2024-09-15
STU0013,3,,2024-09-22
STU0013,4,7.17,2024-09-29
STU0013,5,8.75,2024-10-06
STU0013,6,7.98,2024-10-13
STU0013,7,7.9,2024-10-20
STU0013,8,8.76,2024-10-27
STU0013,9,,2024-11-03
STU0013,10,8.1,2024-11-10
STU0013,11,8.65,2024-11-17
STU0013,12,8.58,2024-11-24
STU0013,13,,2024-12-01
STU0013,14,8.64,2024-12-08
STU0013,15,7.89,2024-12-15
